,alpha,beta,K,M,accuracy
726,3,6,30,70,0.005456202300945437
727,3,6,30,80,0.0054573413828454265
728,3,6,40,10,0.004990317803850097
729,3,6,40,20,0.004990317803850097
730,3,6,40,30,0.004991456885750085
731,3,6,40,40,0.004991456885750085
732,3,6,40,50,0.0049891787219501086
733,3,6,40,60,0.0049891787219501086
734,3,6,40,70,0.0049891787219501086
735,3,6,40,80,0.0049891787219501086
736,3,6,50,10,0.0060633329536393665
737,3,6,50,20,0.00603599498803964
738,3,6,50,30,0.006037134069939629
739,3,6,50,40,0.00603599498803964
740,3,6,50,50,0.006057637544139424
741,3,6,50,60,0.006033716824239663
742,3,6,50,70,0.006033716824239663
743,3,6,50,80,0.00603599498803964
744,3,6,60,10,0.00653605194213464
745,3,6,60,20,0.006086114591639139
746,3,6,60,30,0.006087253673539127
747,3,6,60,40,0.006086114591639139
748,3,6,60,50,0.006537191024034628
749,3,6,60,60,0.006083836427839162
750,3,6,60,70,0.006083836427839162
751,3,6,60,80,0.00608497550973915
752,3,6,70,10,0.006547442761134526
753,3,6,70,20,0.006526939286934731
754,3,6,70,30,0.0065280783688347185
755,3,6,70,40,0.006526939286934731
756,3,6,70,50,0.006525800205034742
757,3,6,70,60,0.006524661123134753
758,3,6,70,70,0.006524661123134753
759,3,6,70,80,0.006525800205034742
760,3,6,80,10,0.006045107643239549
761,3,6,80,20,0.006045107643239549
762,3,6,80,30,0.006046246725139538
763,3,6,80,40,0.006045107643239549
764,3,6,80,50,0.00604396856133956
765,3,6,80,60,0.006042829479439572
766,3,6,80,70,0.006042829479439572
767,3,6,80,80,0.00604396856133956
768,3,7,10,10,0.006307096480236929
769,3,7,10,20,0.006294566579337055
770,3,7,10,30,0.006293427497437065
771,3,7,10,40,0.006294566579337055
772,3,7,10,50,0.006294566579337055
773,3,7,10,60,0.006294566579337055
774,3,7,10,70,0.006294566579337055
775,3,7,10,80,0.006295705661237043
776,3,7,20,10,0.00506207996354938
777,3,7,20,20,0.005049550062649505
778,3,7,20,30,0.005049550062649505
779,3,7,20,40,0.005049550062649505
780,3,7,20,50,0.005049550062649505
781,3,7,20,60,0.005049550062649505
782,3,7,20,70,0.005049550062649505
783,3,7,20,80,0.005050689144549493
784,3,7,30,10,0.00547101036564529
785,3,7,30,20,0.005456202300945437
786,3,7,30,30,0.005456202300945437
787,3,7,30,40,0.005456202300945437
788,3,7,30,50,0.005456202300945437
789,3,7,30,60,0.005456202300945437
790,3,7,30,70,0.005456202300945437
791,3,7,30,80,0.0054573413828454265
792,3,7,40,10,0.004990317803850097
793,3,7,40,20,0.004990317803850097
794,3,7,40,30,0.004991456885750085
795,3,7,40,40,0.0049891787219501086
796,3,7,40,50,0.0049891787219501086
797,3,7,40,60,0.0049891787219501086
798,3,7,40,70,0.0049891787219501086
799,3,7,40,80,0.0049891787219501086
800,3,7,50,10,0.006064472035539356
801,3,7,50,20,0.006037134069939629
802,3,7,50,30,0.006037134069939629
803,3,7,50,40,0.006034855906139652
804,3,7,50,50,0.006034855906139652
805,3,7,50,60,0.006034855906139652
806,3,7,50,70,0.006034855906139652
807,3,7,50,80,0.00603599498803964
808,3,7,60,10,0.00653605194213464
809,3,7,60,20,0.006086114591639139
810,3,7,60,30,0.006087253673539127
811,3,7,60,40,0.00608497550973915
812,3,7,60,50,0.00608497550973915
813,3,7,60,60,0.00608497550973915
814,3,7,60,70,0.00608497550973915
815,3,7,60,80,0.00608497550973915
816,3,7,70,10,0.006547442761134526
817,3,7,70,20,0.006526939286934731
818,3,7,70,30,0.0065280783688347185
819,3,7,70,40,0.006525800205034742
820,3,7,70,50,0.006525800205034742
821,3,7,70,60,0.006525800205034742
822,3,7,70,70,0.006525800205034742
823,3,7,70,80,0.006525800205034742
824,3,7,80,10,0.006045107643239549
825,3,7,80,20,0.006045107643239549
826,3,7,80,30,0.006046246725139538
827,3,7,80,40,0.00604396856133956
828,3,7,80,50,0.00604396856133956
829,3,7,80,60,0.00604396856133956
830,3,7,80,70,0.00604396856133956
831,3,7,80,80,0.00604396856133956
832,3,8,10,10,0.006309374644036906
833,3,8,10,20,0.006295705661237043
834,3,8,10,30,0.006295705661237043
835,3,8,10,40,0.006295705661237043
836,3,8,10,50,0.006294566579337055
837,3,8,10,60,0.006294566579337055
838,3,8,10,70,0.006294566579337055
839,3,8,10,80,0.006295705661237043
840,3,8,20,10,0.0050643581273493565
841,3,8,20,20,0.005050689144549493
842,3,8,20,30,0.005050689144549493
843,3,8,20,40,0.005050689144549493
844,3,8,20,50,0.005049550062649505
845,3,8,20,60,0.005049550062649505
846,3,8,20,70,0.005049550062649505
847,3,8,20,80,0.005050689144549493
848,3,8,30,10,0.005472149447545278
849,3,8,30,20,0.0054573413828454265
850,3,8,30,30,0.0054573413828454265
851,3,8,30,40,0.0054573413828454265
852,3,8,30,50,0.005456202300945437
853,3,8,30,60,0.005456202300945437
854,3,8,30,70,0.005456202300945437
855,3,8,30,80,0.0054573413828454265
856,3,8,40,10,0.0049891787219501086
857,3,8,40,20,0.0049891787219501086
858,3,8,40,30,0.0049891787219501086
859,3,8,40,40,0.0049891787219501086
860,3,8,40,50,0.0049891787219501086
861,3,8,40,60,0.0049891787219501086
862,3,8,40,70,0.0049891787219501086
863,3,8,40,80,0.0049891787219501086
864,3,8,50,10,0.006065611117439343
865,3,8,50,20,0.00603599498803964
866,3,8,50,30,0.00603599498803964
867,3,8,50,40,0.00603599498803964
868,3,8,50,50,0.006034855906139652
869,3,8,50,60,0.006034855906139652
870,3,8,50,70,0.006034855906139652
871,3,8,50,80,0.00603599498803964
872,3,8,60,10,0.006537191024034628
873,3,8,60,20,0.00608497550973915
874,3,8,60,30,0.00608497550973915
875,3,8,60,40,0.00608497550973915
876,3,8,60,50,0.00608497550973915
877,3,8,60,60,0.00608497550973915
878,3,8,60,70,0.00608497550973915
879,3,8,60,80,0.00608497550973915
880,3,8,70,10,0.006548581843034514
881,3,8,70,20,0.006525800205034742
882,3,8,70,30,0.006525800205034742
883,3,8,70,40,0.006525800205034742
884,3,8,70,50,0.006525800205034742
885,3,8,70,60,0.006525800205034742
886,3,8,70,70,0.006525800205034742
887,3,8,70,80,0.006525800205034742
888,3,8,80,10,0.00604396856133956
889,3,8,80,20,0.00604396856133956
890,3,8,80,30,0.00604396856133956
891,3,8,80,40,0.00604396856133956
892,3,8,80,50,0.00604396856133956
893,3,8,80,60,0.00604396856133956
894,3,8,80,70,0.00604396856133956
895,3,8,80,80,0.00604396856133956
896,4,2,10,10,0.007945096252420548
897,4,2,10,20,0.008082925162319171
898,4,2,10,30,0.008084064244219159
899,4,2,10,40,0.008086342408019137
900,4,2,10,50,0.008077229752819227
901,4,2,10,60,0.008145574666818544
902,4,2,10,70,0.008113680373618863
903,4,2,10,80,0.008069256179519308
904,4,2,20,10,0.006067889281239322
905,4,2,20,20,0.00617496297983825
906,4,2,20,30,0.006180658389338194
907,4,2,20,40,0.0061931882902380685
908,4,2,20,50,0.006161293997038388
909,4,2,20,60,0.0062114136006378865
910,4,2,20,70,0.006213691764437863
911,4,2,20,80,0.006190910126438091
912,4,2,30,10,0.006000683449139993
913,4,2,30,20,0.0060883927554391155
914,4,2,30,30,0.006087253673539127
915,4,2,30,40,0.006098644492539013
916,4,2,30,50,0.006089531837339105
917,4,2,30,60,0.00553593803394464
918,4,2,30,70,0.0055439116072445605
919,4,2,30,80,0.00608497550973915
920,4,2,40,10,0.006123704294338763
921,4,2,40,20,0.0062250825834377485
922,4,2,40,30,0.006245586057637544
923,4,2,40,40,0.006247864221437522
924,4,2,40,50,0.006222804419637772
925,4,2,40,60,0.005649846223943501
926,4,2,40,70,0.005671488780043286
927,4,2,40,80,0.00624900330333751
928,4,2,50,10,0.006103200820138968
929,4,2,50,20,0.00612598245813874
930,4,2,50,30,0.006118008884838821
931,4,2,50,40,0.00614192960473858
932,4,2,50,50,0.006108896229638911
933,4,2,50,60,0.005546189771044538
934,4,2,50,70,0.005557580590044424
935,4,2,50,80,0.006132816949538672
936,4,2,60,10,0.006132816949538672
937,4,2,60,20,0.006238751566237612
938,4,2,60,30,0.006259255040437407
939,4,2,60,40,0.006284314842237157
940,4,2,60,50,0.00616698940653833
941,4,2,60,60,0.006285453924137145
942,4,2,60,70,0.006213691764437863
943,4,2,60,80,0.006186353798838137
944,4,2,70,10,0.006234195238637658
945,4,2,70,20,0.006229638911037704
946,4,2,70,30,0.0062546987128374535
947,4,2,70,40,0.006271784941337281
948,4,2,70,50,0.00625697687663743
949,4,2,70,60,0.00568401868094316
950,4,2,70,70,0.005710217564642898
951,4,2,70,80,0.006286593006037134
952,4,2,80,10,0.006621483084633784
953,4,2,80,20,0.006704636063332953
954,4,2,80,30,0.0067410866841325886
955,4,2,80,40,0.006754755666932452
956,4,2,80,50,0.006646542886433534
957,4,2,80,60,0.00675703383073243
958,4,2,80,70,0.006103200820138968
959,4,2,80,80,0.006684132589133158
960,4,3,10,10,0.008127349356418727
961,4,3,10,20,0.008163799977218363
962,4,3,10,30,0.0081501309944185
963,4,3,10,40,0.008142157421118578
964,4,3,10,50,0.008167217222918329
965,4,3,10,60,0.008178608041918214
966,4,3,10,70,0.00818088620571819
967,4,3,10,80,0.00818088620571819
968,4,3,20,10,0.006192049208338079
969,4,3,20,20,0.006212552682537874
970,4,3,20,30,0.006220526255837795
971,4,3,20,40,0.006210274518737897
972,4,3,20,50,0.00623191707483768
973,4,3,20,60,0.0062364734024376355
974,4,3,20,70,0.006242168811937578
975,4,3,20,80,0.006243307893837567
976,4,3,30,10,0.0061214261305387865
977,4,3,30,20,0.006138512359038614
978,4,3,30,30,0.0061464859323385355
979,4,3,30,40,0.006138512359038614
980,4,3,30,50,0.006155598587538444
981,4,3,30,60,0.006165850324638341
982,4,3,30,70,0.006165850324638341
983,4,3,30,80,0.00616698940653833
984,4,3,40,10,0.0062330561567376696
985,4,3,40,20,0.0062546987128374535
986,4,3,40,30,0.006271784941337281
987,4,3,40,40,0.006263811368037362
988,4,3,40,50,0.0062831757603371684
989,4,3,40,60,0.006288871169837111
990,4,3,40,70,0.0062900102517371
991,4,3,40,80,0.006291149333637089
992,4,3,50,10,0.006228499829137714
993,4,3,50,20,0.006154459505638456
994,4,3,50,30,0.006169267570338307
995,4,3,50,40,0.006159015833238409
996,4,3,50,50,0.0061783802255382155
997,4,3,50,60,0.006280897596537191
998,4,3,50,70,0.006185214716938147
999,4,3,50,80,0.006186353798838137
1000,4,3,60,10,0.006266089531837339
1001,4,3,60,20,0.006202300945437977
1002,4,3,60,30,0.006217109010137829
1003,4,3,60,40,0.006219387173937806
1004,4,3,60,50,0.006226221665337738
1005,4,3,60,60,0.006318487299236814
1006,4,3,60,70,0.006235334320537646
1007,4,3,60,80,0.0062364734024376355
1008,4,3,70,10,0.006362911493336371
1009,4,3,70,20,0.006280897596537191
1010,4,3,70,30,0.006296844743137031
1011,4,3,70,40,0.006300261988836997
1012,4,3,70,50,0.00630595739833694
1013,4,3,70,60,0.006399362114136007
1014,4,3,70,70,0.006316209135436838
1015,4,3,70,80,0.006317348217336827
1016,4,3,80,10,0.006754755666932452
1017,4,3,80,20,0.006670463606333296
1018,4,3,80,30,0.006684132589133158
1019,4,3,80,40,0.006692106162433079
1020,4,3,80,50,0.006696662490033033
1021,4,3,80,60,0.006793484451532065
1022,4,3,80,70,0.006712609636632874
1023,4,3,80,80,0.006712609636632874
1024,4,4,10,10,0.008176329878118237
1025,4,4,10,20,0.0081501309944185
1026,4,4,10,30,0.008167217222918329
1027,4,4,10,40,0.008171773550518282
1028,4,4,10,50,0.008171773550518282
1029,4,4,10,60,0.008169495386718306
1030,4,4,10,70,0.008186581615218133
1031,4,4,10,80,0.008187720697118123
1032,4,4,20,10,0.006218248092037818
1033,4,4,20,20,0.006214830846337852
1034,4,4,20,30,0.006223943501537761
1035,4,4,20,40,0.006229638911037704
1036,4,4,20,50,0.006230777992937693
1037,4,4,20,60,0.006229638911037704
1038,4,4,20,70,0.006244446975737556
1039,4,4,20,80,0.006245586057637544
1040,4,4,30,10,0.006139651440938604
1041,4,4,30,20,0.00614192960473858
1042,4,4,30,30,0.006149903178038501
1043,4,4,30,40,0.006157876751338422
1044,4,4,30,50,0.006157876751338422
1045,4,4,30,60,0.0061567376694384324
1046,4,4,30,70,0.0061681284884383195
1047,4,4,30,80,0.006169267570338307
1048,4,4,40,10,0.006252420549037476
1049,4,4,40,20,0.006285453924137145
1050,4,4,40,30,0.006276341268937237
1051,4,4,40,40,0.006282036678437179
1052,4,4,40,50,0.006282036678437179
1053,4,4,40,60,0.006280897596537191
1054,4,4,40,70,0.006293427497437065
1055,4,4,40,80,0.006294566579337055
1056,4,4,50,10,0.006244446975737556
1057,4,4,50,20,0.006182936553138171
1058,4,4,50,30,0.006176102061738239
1059,4,4,50,40,0.006192049208338079
1060,4,4,50,50,0.006192049208338079
1061,4,4,50,60,0.006177241143638228
1062,4,4,50,70,0.006188631962638113
1063,4,4,50,80,0.0061897710445381025
1064,4,4,60,10,0.006293427497437065
1065,4,4,60,20,0.00623191707483768
1066,4,4,60,30,0.006223943501537761
1067,4,4,60,40,0.006255837794737442
1068,4,4,60,50,0.006243307893837567
1069,4,4,60,60,0.006227360747237727
1070,4,4,60,70,0.006226221665337738
1071,4,4,60,80,0.006227360747237727
1072,4,4,70,10,0.006385693131336143
1073,4,4,70,20,0.006309374644036906
1074,4,4,70,30,0.006302540152636975
1075,4,4,70,40,0.006333295363936667
1076,4,4,70,50,0.006320765463036793
1077,4,4,70,60,0.00630595739833694
1078,4,4,70,70,0.00630595739833694
1079,4,4,70,80,0.006307096480236929
1080,4,4,80,10,0.006778676386832213
1081,4,4,80,20,0.0067012188176329875
1082,4,4,80,30,0.006695523408133045
1083,4,4,80,40,0.006725139537532748
1084,4,4,80,50,0.006712609636632874
1085,4,4,80,60,0.006702357899532977
1086,4,4,80,70,0.006702357899532977
1087,4,4,80,80,0.006702357899532977
1088,4,5,10,10,0.00815810456771842
1089,4,5,10,20,0.008162660895318374
1090,4,5,10,30,0.008171773550518282
1091,4,5,10,40,0.008174051714318259
1092,4,5,10,50,0.008174051714318259
1093,4,5,10,60,0.008174051714318259
1094,4,5,10,70,0.0081899988609181
1095,4,5,10,80,0.008175190796218248
1096,4,5,20,10,0.00623191707483768
1097,4,5,20,20,0.0062250825834377485
1098,4,5,20,30,0.006229638911037704
1099,4,5,20,40,0.006230777992937693
1100,4,5,20,50,0.006230777992937693
1101,4,5,20,60,0.006230777992937693
1102,4,5,20,70,0.006245586057637544
1103,4,5,20,80,0.006230777992937693
1104,4,5,30,10,0.0061533204237384665
1105,4,5,30,20,0.006152181341838478
1106,4,5,30,30,0.0061567376694384324
1107,4,5,30,40,0.006157876751338422
1108,4,5,30,50,0.006157876751338422
1109,4,5,30,60,0.006157876751338422
1110,4,5,30,70,0.006170406652238296
1111,4,5,30,80,0.006159015833238409
1112,4,5,40,10,0.0062979838250370205
1113,4,5,40,20,0.006294566579337055
1114,4,5,40,30,0.006280897596537191
1115,4,5,40,40,0.006282036678437179
1116,4,5,40,50,0.0062797585146372025
1117,4,5,40,60,0.0062797585146372025
1118,4,5,40,70,0.006293427497437065
1119,4,5,40,80,0.006280897596537191
1120,4,5,50,10,0.006182936553138171
1121,4,5,50,20,0.006192049208338079
1122,4,5,50,30,0.0061783802255382155
1123,4,5,50,40,0.006192049208338079
1124,4,5,50,50,0.006192049208338079
1125,4,5,50,60,0.0061783802255382155
1126,4,5,50,70,0.006190910126438091
1127,4,5,50,80,0.006179519307438205
1128,4,5,60,10,0.0062330561567376696
1129,4,5,60,20,0.00624102973003759
1130,4,5,60,30,0.006228499829137714
1131,4,5,60,40,0.006255837794737442
1132,4,5,60,50,0.006253559630937464
1133,4,5,60,60,0.006226221665337738
1134,4,5,60,70,0.006226221665337738
1135,4,5,60,80,0.006227360747237727
1136,4,5,70,10,0.006319626381136804
1137,4,5,70,20,0.006318487299236814
1138,4,5,70,30,0.006307096480236929
1139,4,5,70,40,0.006333295363936667
1140,4,5,70,50,0.006333295363936667
1141,4,5,70,60,0.006307096480236929
1142,4,5,70,70,0.006307096480236929
1143,4,5,70,80,0.006308235562136918
1144,4,5,80,10,0.006713748718532863
1145,4,5,80,20,0.006712609636632874
1146,4,5,80,30,0.006703496981432965
1147,4,5,80,40,0.006728556783232714
1148,4,5,80,50,0.0067274177013327266
1149,4,5,80,60,0.006703496981432965
1150,4,5,80,70,0.006703496981432965
1151,4,5,80,80,0.006703496981432965
1152,4,6,10,10,0.008184303451418157
1153,4,6,10,20,0.008170634468618295
1154,4,6,10,30,0.008172912632418271
1155,4,6,10,40,0.008174051714318259
1156,4,6,10,50,0.008175190796218248
1157,4,6,10,60,0.008174051714318259
1158,4,6,10,70,0.008174051714318259
1159,4,6,10,80,0.008176329878118237
1160,4,6,20,10,0.006242168811937578
1161,4,6,20,20,0.006229638911037704
1162,4,6,20,30,0.006229638911037704
1163,4,6,20,40,0.006229638911037704
1164,4,6,20,50,0.006230777992937693
1165,4,6,20,60,0.006229638911037704
1166,4,6,20,70,0.006229638911037704
1167,4,6,20,80,0.00623191707483768
1168,4,6,30,10,0.006165850324638341
1169,4,6,30,20,0.006155598587538444
1170,4,6,30,30,0.006157876751338422
1171,4,6,30,40,0.006157876751338422
1172,4,6,30,50,0.006159015833238409
1173,4,6,30,60,0.006157876751338422
1174,4,6,30,70,0.006157876751338422
1175,4,6,30,80,0.006160154915138398
1176,4,6,40,10,0.006308235562136918
1177,4,6,40,20,0.0062797585146372025
1178,4,6,40,30,0.006282036678437179
1179,4,6,40,40,0.006282036678437179
1180,4,6,40,50,0.006280897596537191
1181,4,6,40,60,0.0062797585146372025
1182,4,6,40,70,0.0062797585146372025
1183,4,6,40,80,0.006282036678437179
1184,4,6,50,10,0.006203440027337965
1185,4,6,50,20,0.0061783802255382155
1186,4,6,50,30,0.006179519307438205
1187,4,6,50,40,0.0061783802255382155
1188,4,6,50,50,0.0061931882902380685
1189,4,6,50,60,0.0061783802255382155
1190,4,6,50,70,0.0061783802255382155
1191,4,6,50,80,0.006180658389338194
1192,4,6,60,10,0.006255837794737442
1193,4,6,60,20,0.006228499829137714
1194,4,6,60,30,0.006229638911037704
1195,4,6,60,40,0.006228499829137714
1196,4,6,60,50,0.006242168811937578
1197,4,6,60,60,0.006226221665337738
1198,4,6,60,70,0.006226221665337738
1199,4,6,60,80,0.006228499829137714
1200,4,6,70,10,0.006333295363936667
1201,4,6,70,20,0.006307096480236929
1202,4,6,70,30,0.006308235562136918
1203,4,6,70,40,0.006307096480236929
1204,4,6,70,50,0.00632190454493678
1205,4,6,70,60,0.006307096480236929
1206,4,6,70,70,0.006307096480236929
1207,4,6,70,80,0.006309374644036906
1208,4,6,80,10,0.006728556783232714
1209,4,6,80,20,0.0067012188176329875
1210,4,6,80,30,0.006704636063332953
1211,4,6,80,40,0.006703496981432965
1212,4,6,80,50,0.006718305046132816
1213,4,6,80,60,0.006703496981432965
1214,4,6,80,70,0.006703496981432965
1215,4,6,80,80,0.006704636063332953
1216,4,7,10,10,0.008187720697118123
1217,4,7,10,20,0.008175190796218248
1218,4,7,10,30,0.008174051714318259
1219,4,7,10,40,0.008175190796218248
1220,4,7,10,50,0.008175190796218248
1221,4,7,10,60,0.008175190796218248
1222,4,7,10,70,0.008175190796218248
1223,4,7,10,80,0.008176329878118237
1224,4,7,20,10,0.006245586057637544
1225,4,7,20,20,0.006230777992937693
1226,4,7,20,30,0.006229638911037704
1227,4,7,20,40,0.006230777992937693
1228,4,7,20,50,0.006230777992937693
1229,4,7,20,60,0.006230777992937693
1230,4,7,20,70,0.006230777992937693
1231,4,7,20,80,0.00623191707483768
1232,4,7,30,10,0.0061681284884383195
1233,4,7,30,20,0.006159015833238409
1234,4,7,30,30,0.006157876751338422
1235,4,7,30,40,0.006159015833238409
1236,4,7,30,50,0.006159015833238409
1237,4,7,30,60,0.006159015833238409
1238,4,7,30,70,0.006159015833238409
1239,4,7,30,80,0.006160154915138398
1240,4,7,40,10,0.006309374644036906
1241,4,7,40,20,0.0062831757603371684
1242,4,7,40,30,0.006282036678437179
1243,4,7,40,40,0.006280897596537191
1244,4,7,40,50,0.006280897596537191
1245,4,7,40,60,0.006280897596537191
1246,4,7,40,70,0.006280897596537191
1247,4,7,40,80,0.006282036678437179
1248,4,7,50,10,0.006204579109237955
1249,4,7,50,20,0.006179519307438205
1250,4,7,50,30,0.006179519307438205
1251,4,7,50,40,0.006179519307438205
1252,4,7,50,50,0.006179519307438205
1253,4,7,50,60,0.006179519307438205
1254,4,7,50,70,0.006179519307438205
1255,4,7,50,80,0.006180658389338194
1256,4,7,60,10,0.00625697687663743
1257,4,7,60,20,0.006229638911037704
1258,4,7,60,30,0.006229638911037704
1259,4,7,60,40,0.006227360747237727
1260,4,7,60,50,0.006227360747237727
1261,4,7,60,60,0.006227360747237727
1262,4,7,60,70,0.006227360747237727
1263,4,7,60,80,0.006228499829137714
1264,4,7,70,10,0.006334434445836656
1265,4,7,70,20,0.006308235562136918
1266,4,7,70,30,0.006308235562136918
1267,4,7,70,40,0.006308235562136918
1268,4,7,70,50,0.006308235562136918
1269,4,7,70,60,0.006308235562136918
1270,4,7,70,70,0.006308235562136918
1271,4,7,70,80,0.006309374644036906
1272,4,7,80,10,0.006728556783232714
1273,4,7,80,20,0.006703496981432965
1274,4,7,80,30,0.006704636063332953
1275,4,7,80,40,0.006704636063332953
1276,4,7,80,50,0.006704636063332953
1277,4,7,80,60,0.006704636063332953
1278,4,7,80,70,0.006704636063332953
1279,4,7,80,80,0.006704636063332953
1280,4,8,10,10,0.0081899988609181
1281,4,8,10,20,0.008176329878118237
1282,4,8,10,30,0.008176329878118237
1283,4,8,10,40,0.008176329878118237
1284,4,8,10,50,0.008175190796218248
1285,4,8,10,60,0.008175190796218248
1286,4,8,10,70,0.008175190796218248
1287,4,8,10,80,0.008176329878118237
1288,4,8,20,10,0.006247864221437522
1289,4,8,20,20,0.00623191707483768
1290,4,8,20,30,0.00623191707483768
1291,4,8,20,40,0.00623191707483768
1292,4,8,20,50,0.006230777992937693
1293,4,8,20,60,0.006230777992937693
1294,4,8,20,70,0.006230777992937693
1295,4,8,20,80,0.00623191707483768
1296,4,8,30,10,0.006170406652238296
1297,4,8,30,20,0.006160154915138398
1298,4,8,30,30,0.006160154915138398
1299,4,8,30,40,0.006160154915138398
1300,4,8,30,50,0.006159015833238409
1301,4,8,30,60,0.006159015833238409
1302,4,8,30,70,0.006159015833238409
1303,4,8,30,80,0.006160154915138398
1304,4,8,40,10,0.006309374644036906
1305,4,8,40,20,0.006282036678437179
1306,4,8,40,30,0.006282036678437179
1307,4,8,40,40,0.006282036678437179
1308,4,8,40,50,0.006280897596537191
1309,4,8,40,60,0.006280897596537191
1310,4,8,40,70,0.006280897596537191
1311,4,8,40,80,0.006282036678437179
1312,4,8,50,10,0.006206857273037931
1313,4,8,50,20,0.006180658389338194
1314,4,8,50,30,0.006180658389338194
1315,4,8,50,40,0.006180658389338194
1316,4,8,50,50,0.006179519307438205
1317,4,8,50,60,0.006179519307438205
1318,4,8,50,70,0.006179519307438205
1319,4,8,50,80,0.006180658389338194
1320,4,8,60,10,0.00625697687663743
1321,4,8,60,20,0.006228499829137714
1322,4,8,60,30,0.006228499829137714
1323,4,8,60,40,0.006228499829137714
1324,4,8,60,50,0.006227360747237727
1325,4,8,60,60,0.006227360747237727
1326,4,8,60,70,0.006227360747237727
1327,4,8,60,80,0.006228499829137714
1328,4,8,70,10,0.006335573527736644
1329,4,8,70,20,0.006309374644036906
1330,4,8,70,30,0.006309374644036906
1331,4,8,70,40,0.006309374644036906
1332,4,8,70,50,0.006308235562136918
1333,4,8,70,60,0.006308235562136918
1334,4,8,70,70,0.006308235562136918
1335,4,8,70,80,0.006309374644036906
1336,4,8,80,10,0.006729695865132703
1337,4,8,80,20,0.006704636063332953
1338,4,8,80,30,0.006704636063332953
1339,4,8,80,40,0.006704636063332953
1340,4,8,80,50,0.006704636063332953
1341,4,8,80,60,0.006704636063332953
1342,4,8,80,70,0.006704636063332953
1343,4,8,80,80,0.006704636063332953
1344,5,2,10,10,0.007971295136120287
1345,5,2,10,20,0.008111402209818886
1346,5,2,10,30,0.008109124046018908
1347,5,2,10,40,0.008110263127918897
1348,5,2,10,50,0.008104567718418955
1349,5,2,10,60,0.008175190796218248
1350,5,2,10,70,0.008139879257318601
1351,5,2,10,80,0.008105706800318942
1352,5,2,20,10,0.006210274518737897
1353,5,2,20,20,0.006319626381136804
1354,5,2,20,30,0.00633101720013669
1355,5,2,20,40,0.0063412689372365875
1356,5,2,20,50,0.006337851691536622
1357,5,2,20,60,0.006354937920036451
1358,5,2,20,70,0.006365189657136349
1359,5,2,20,80,0.006319626381136804
1360,5,2,30,10,0.006187492880738125
1361,5,2,30,20,0.006296844743137031
1362,5,2,30,30,0.006300261988836997
1363,5,2,30,40,0.006317348217336827
1364,5,2,30,50,0.006295705661237043
1365,5,2,30,60,0.006328739036336712
1366,5,2,30,70,0.006333295363936667
1367,5,2,30,80,0.006282036678437179
1368,5,2,40,10,0.006296844743137031
1369,5,2,40,20,0.006409613851235904
1370,5,2,40,30,0.006390249458936097
1371,5,2,40,40,0.006393666704636063
1372,5,2,40,50,0.006383414967536166
1373,5,2,40,60,0.0064130310969358695
1374,5,2,40,70,0.006426700079735733
1375,5,2,40,80,0.006377719558036222
1376,5,2,50,10,0.006262672286137373
1377,5,2,50,20,0.006375441394236245
1378,5,2,50,30,0.006352659756236474
1379,5,2,50,40,0.006368606902836313
1380,5,2,50,50,0.006354937920036451
1381,5,2,50,60,0.006370885066636292
1382,5,2,50,70,0.006386832213236132
1383,5,2,50,80,0.006336712609636633
1384,5,2,60,10,0.007908645631620912
1385,5,2,60,20,0.007954208907620459
1386,5,2,60,30,0.007937122679120629
1387,5,2,60,40,0.007950791661920493
1388,5,2,60,50,0.007940539924820595
1389,5,2,60,60,0.007971295136120287
1390,5,2,60,70,0.00798610320082014
1391,5,2,60,80,0.007937122679120629
1392,5,2,70,10,0.00787789042032122
1393,5,2,70,20,0.00791889736872081
1394,5,2,70,30,0.007905228385920948
1395,5,2,70,40,0.007916619204920834
1396,5,2,70,50,0.007910923795420891
1397,5,2,70,60,0.007943957170520561
1398,5,2,70,70,0.007958765235220412
1399,5,2,70,80,0.007940539924820595
1400,5,2,80,10,0.008281125412917189
1401,5,2,80,20,0.008317576033716825
1402,5,2,80,30,0.008319854197516801
1403,5,2,80,40,0.008324410525116755
1404,5,2,80,50,0.008319854197516801
1405,5,2,80,60,0.008352887572616471
1406,5,2,80,70,0.008373391046816267
1407,5,2,80,80,0.008358582982116414
1408,5,3,10,10,0.008156965485818431
1409,5,3,10,20,0.008194555188518055
1410,5,3,10,30,0.008179747123818203
1411,5,3,10,40,0.008174051714318259
1412,5,3,10,50,0.008199111516118008
1413,5,3,10,60,0.008210502335117895
1414,5,3,10,70,0.008210502335117895
1415,5,3,10,80,0.008210502335117895
1416,5,3,20,10,0.00633899077343661
1417,5,3,20,20,0.006362911493336371
1418,5,3,20,30,0.006373163230436268
1419,5,3,20,40,0.006365189657136349
1420,5,3,20,50,0.006384554049436154
1421,5,3,20,60,0.0063948057865360515
1422,5,3,20,70,0.0063948057865360515
1423,5,3,20,80,0.006395944868436041
1424,5,3,30,10,0.00630595739833694
1425,5,3,30,20,0.006335573527736644
1426,5,3,30,30,0.0063412689372365875
1427,5,3,30,40,0.006335573527736644
1428,5,3,30,50,0.006357216083836428
1429,5,3,30,60,0.0063663287390363366
1430,5,3,30,70,0.006367467820936326
1431,5,3,30,80,0.006368606902836313
1432,5,3,40,10,0.006411892015035881
1433,5,3,40,20,0.006442647226335574
1434,5,3,40,30,0.006447203553935528
