,alpha,beta,K,M,accuracy
87,2,3,30,80,0.003221323613167787
88,2,3,40,10,0.0029103542544708966
89,2,3,40,20,0.0031814557466681853
90,2,3,40,30,0.0031894293199681055
91,2,3,40,40,0.003173482173368265
92,2,3,40,50,0.003173482173368265
93,2,3,40,60,0.003174621255268254
94,2,3,40,70,0.003174621255268254
95,2,3,40,80,0.003174621255268254
96,2,3,50,10,0.0055723886547442755
97,2,3,50,20,0.005578084064244219
98,2,3,50,30,0.0055906139651440935
99,2,3,50,40,0.005581501309944185
100,2,3,50,50,0.005576944982344231
101,2,3,50,60,0.005581501309944185
102,2,3,50,70,0.005581501309944185
103,2,3,50,80,0.005581501309944185
104,2,3,60,10,0.005596309374644037
105,2,3,60,20,0.005603143866043968
106,2,3,60,30,0.005613395603143866
107,2,3,60,40,0.005606561111743934
108,2,3,60,50,0.005612256521243878
109,2,3,60,60,0.005616812848843832
110,2,3,60,70,0.005616812848843832
111,2,3,60,80,0.005616812848843832
112,2,3,70,10,0.0054539241371454605
113,2,3,70,20,0.005460758628545392
114,2,3,70,30,0.005473288529445267
115,2,3,70,40,0.005469871283745301
116,2,3,70,50,0.00547101036564529
117,2,3,70,60,0.005475566693245244
118,2,3,70,70,0.005475566693245244
119,2,3,70,80,0.005475566693245244
120,2,3,80,10,0.005477844857045222
121,2,3,80,20,0.005484679348445153
122,2,3,80,30,0.0054972092493450276
123,2,3,80,40,0.0054972092493450276
124,2,3,80,50,0.005496070167445039
125,2,3,80,60,0.0055006264950449935
126,2,3,80,70,0.0055006264950449935
127,2,3,80,80,0.0055006264950449935
128,2,4,10,10,0.006643125640733569
129,2,4,10,20,0.005936894862740631
130,2,4,10,30,0.005944868436040552
131,2,4,10,40,0.005949424763640506
132,2,4,10,50,0.0059482856817405175
133,2,4,10,60,0.0059517029274404835
134,2,4,10,70,0.005966510992140335
135,2,4,10,80,0.005967650074040324
136,2,4,20,10,0.0049709534115502906
137,2,4,20,20,0.004985761476250143
138,2,4,20,30,0.004066522382959335
139,2,4,20,40,0.00499601321335004
140,2,4,20,50,0.004994874131450051
141,2,4,20,60,0.004069939628659301
142,2,4,20,70,0.004069939628659301
143,2,4,20,80,0.004071078710559289
144,2,4,30,10,0.0032053764665679464
145,2,4,30,20,0.0032167672855678326
146,2,4,30,30,0.003221323613167787
147,2,4,30,40,0.003222462695067775
148,2,4,30,50,0.003222462695067775
149,2,4,30,60,0.003222462695067775
150,2,4,30,70,0.003222462695067775
151,2,4,30,80,0.003223601776967764
152,2,4,40,10,0.003167786763868322
153,2,4,40,20,0.0031723430914682767
154,2,4,40,30,0.003176899419068231
155,2,4,40,40,0.003190568401868094
156,2,4,40,50,0.003190568401868094
157,2,4,40,60,0.003190568401868094
158,2,4,40,70,0.003190568401868094
159,2,4,40,80,0.0031780385009682194
160,2,4,50,10,0.005563275999544367
161,2,4,50,20,0.005571249572844288
162,2,4,50,30,0.005573527736644265
163,2,4,50,40,0.005587196719444128
164,2,4,50,50,0.005587196719444128
165,2,4,50,60,0.005587196719444128
166,2,4,50,70,0.005587196719444128
167,2,4,50,80,0.005574666818544254
168,2,4,60,10,0.005606561111743934
169,2,4,60,20,0.005606561111743934
170,2,4,60,30,0.005611117439343889
171,2,4,60,40,0.005613395603143866
172,2,4,60,50,0.005613395603143866
173,2,4,60,60,0.005614534685043855
174,2,4,60,70,0.005613395603143866
175,2,4,60,80,0.005614534685043855
176,2,4,70,10,0.005464175874245358
177,2,4,70,20,0.005466454038045335
178,2,4,70,30,0.00547101036564529
179,2,4,70,40,0.005473288529445267
180,2,4,70,50,0.005473288529445267
181,2,4,70,60,0.005474427611345256
182,2,4,70,70,0.005473288529445267
183,2,4,70,80,0.005474427611345256
184,2,4,80,10,0.005488096594145119
185,2,4,80,20,0.0054903747579450966
186,2,4,80,30,0.005494931085545051
187,2,4,80,40,0.0054972092493450276
188,2,4,80,50,0.0054972092493450276
189,2,4,80,60,0.0054972092493450276
190,2,4,80,70,0.0054972092493450276
191,2,4,80,80,0.0054972092493450276
192,2,5,10,10,0.00595398109124046
193,2,5,10,20,0.0059482856817405175
194,2,5,10,30,0.005952842009340471
195,2,5,10,40,0.005952842009340471
196,2,5,10,50,0.0059517029274404835
197,2,5,10,60,0.005952842009340471
198,2,5,10,70,0.005967650074040324
199,2,5,10,80,0.00595398109124046
200,2,5,20,10,0.00498803964005012
201,2,5,20,20,0.004994874131450051
202,2,5,20,30,0.004069939628659301
203,2,5,20,40,0.004998291377150017
204,2,5,20,50,0.004994874131450051
205,2,5,20,60,0.004069939628659301
206,2,5,20,70,0.004069939628659301
207,2,5,20,80,0.004071078710559289
208,2,5,30,10,0.0032133500398678666
209,2,5,30,20,0.003221323613167787
210,2,5,30,30,0.003222462695067775
211,2,5,30,40,0.003222462695067775
212,2,5,30,50,0.003222462695067775
213,2,5,30,60,0.003222462695067775
214,2,5,30,70,0.003222462695067775
215,2,5,30,80,0.003223601776967764
216,2,5,40,10,0.0031757603371682427
217,2,5,40,20,0.003176899419068231
218,2,5,40,30,0.0031780385009682194
219,2,5,40,40,0.0031780385009682194
220,2,5,40,50,0.0031780385009682194
221,2,5,40,60,0.0031780385009682194
222,2,5,40,70,0.0031780385009682194
223,2,5,40,80,0.0031780385009682194
224,2,5,50,10,0.0055723886547442755
225,2,5,50,20,0.005574666818544254
226,2,5,50,30,0.005574666818544254
227,2,5,50,40,0.005574666818544254
228,2,5,50,50,0.0055723886547442755
229,2,5,50,60,0.0055723886547442755
230,2,5,50,70,0.0055723886547442755
231,2,5,50,80,0.0055723886547442755
232,2,5,60,10,0.005611117439343889
233,2,5,60,20,0.005613395603143866
234,2,5,60,30,0.005613395603143866
235,2,5,60,40,0.005613395603143866
236,2,5,60,50,0.005611117439343889
237,2,5,60,60,0.005612256521243878
238,2,5,60,70,0.005612256521243878
239,2,5,60,80,0.005612256521243878
240,2,5,70,10,0.00547101036564529
241,2,5,70,20,0.005473288529445267
242,2,5,70,30,0.005473288529445267
243,2,5,70,40,0.005473288529445267
244,2,5,70,50,0.00547101036564529
245,2,5,70,60,0.005472149447545278
246,2,5,70,70,0.005472149447545278
247,2,5,70,80,0.005472149447545278
248,2,5,80,10,0.005494931085545051
249,2,5,80,20,0.0054972092493450276
250,2,5,80,30,0.0054972092493450276
251,2,5,80,40,0.0054972092493450276
252,2,5,80,50,0.005494931085545051
253,2,5,80,60,0.005494931085545051
254,2,5,80,70,0.005494931085545051
255,2,5,80,80,0.005494931085545051
256,2,6,10,10,0.005966510992140335
257,2,6,10,20,0.005949424763640506
258,2,6,10,30,0.005952842009340471
259,2,6,10,40,0.005952842009340471
260,2,6,10,50,0.005952842009340471
261,2,6,10,60,0.005952842009340471
262,2,6,10,70,0.005952842009340471
263,2,6,10,80,0.00595398109124046
264,2,6,20,10,0.004998291377150017
265,2,6,20,20,0.004067661464859323
266,2,6,20,30,0.004071078710559289
267,2,6,20,40,0.004069939628659301
268,2,6,20,50,0.004997152295250029
269,2,6,20,60,0.004069939628659301
270,2,6,20,70,0.004069939628659301
271,2,6,20,80,0.004072217792459278
272,2,6,30,10,0.003222462695067775
273,2,6,30,20,0.003222462695067775
274,2,6,30,30,0.003223601776967764
275,2,6,30,40,0.003222462695067775
276,2,6,30,50,0.003223601776967764
277,2,6,30,60,0.003222462695067775
278,2,6,30,70,0.003222462695067775
279,2,6,30,80,0.0032247408588677528
280,2,6,40,10,0.0031780385009682194
281,2,6,40,20,0.0031780385009682194
282,2,6,40,30,0.0031791775828682086
283,2,6,40,40,0.0031780385009682194
284,2,6,40,50,0.0031791775828682086
285,2,6,40,60,0.0031780385009682194
286,2,6,40,70,0.0031780385009682194
287,2,6,40,80,0.0031791775828682086
288,2,6,50,10,0.005574666818544254
289,2,6,50,20,0.005575805900444241
290,2,6,50,30,0.005575805900444241
291,2,6,50,40,0.005574666818544254
292,2,6,50,50,0.005573527736644265
293,2,6,50,60,0.0055723886547442755
294,2,6,50,70,0.0055723886547442755
295,2,6,50,80,0.005573527736644265
296,2,6,60,10,0.005613395603143866
297,2,6,60,20,0.005614534685043855
298,2,6,60,30,0.005614534685043855
299,2,6,60,40,0.005613395603143866
300,2,6,60,50,0.005612256521243878
301,2,6,60,60,0.005612256521243878
302,2,6,60,70,0.005612256521243878
303,2,6,60,80,0.005612256521243878
304,2,6,70,10,0.005473288529445267
305,2,6,70,20,0.005474427611345256
306,2,6,70,30,0.005474427611345256
307,2,6,70,40,0.005473288529445267
308,2,6,70,50,0.005472149447545278
309,2,6,70,60,0.005472149447545278
310,2,6,70,70,0.005472149447545278
311,2,6,70,80,0.005472149447545278
312,2,6,80,10,0.0054972092493450276
313,2,6,80,20,0.005498348331245017
314,2,6,80,30,0.005498348331245017
315,2,6,80,40,0.0054972092493450276
316,2,6,80,50,0.005496070167445039
317,2,6,80,60,0.005494931085545051
318,2,6,80,70,0.005494931085545051
319,2,6,80,80,0.005496070167445039
320,2,7,10,10,0.005967650074040324
321,2,7,10,20,0.005952842009340471
322,2,7,10,30,0.005952842009340471
323,2,7,10,40,0.005952842009340471
324,2,7,10,50,0.005952842009340471
325,2,7,10,60,0.005952842009340471
326,2,7,10,70,0.005952842009340471
327,2,7,10,80,0.00595398109124046
328,2,7,20,10,0.0049994304590500055
329,2,7,20,20,0.004071078710559289
330,2,7,20,30,0.004071078710559289
331,2,7,20,40,0.004071078710559289
332,2,7,20,50,0.004071078710559289
333,2,7,20,60,0.004071078710559289
334,2,7,20,70,0.004071078710559289
335,2,7,20,80,0.004072217792459278
336,2,7,30,10,0.003223601776967764
337,2,7,30,20,0.003223601776967764
338,2,7,30,30,0.003223601776967764
339,2,7,30,40,0.003223601776967764
340,2,7,30,50,0.003223601776967764
341,2,7,30,60,0.003223601776967764
342,2,7,30,70,0.003223601776967764
343,2,7,30,80,0.0032247408588677528
344,2,7,40,10,0.0031780385009682194
345,2,7,40,20,0.0031780385009682194
346,2,7,40,30,0.0031791775828682086
347,2,7,40,40,0.0031791775828682086
348,2,7,40,50,0.0031791775828682086
349,2,7,40,60,0.0031791775828682086
350,2,7,40,70,0.0031791775828682086
351,2,7,40,80,0.0031791775828682086
352,2,7,50,10,0.005574666818544254
353,2,7,50,20,0.005575805900444241
354,2,7,50,30,0.005575805900444241
355,2,7,50,40,0.005573527736644265
356,2,7,50,50,0.005573527736644265
357,2,7,50,60,0.005573527736644265
358,2,7,50,70,0.005573527736644265
359,2,7,50,80,0.005573527736644265
360,2,7,60,10,0.005613395603143866
361,2,7,60,20,0.005614534685043855
362,2,7,60,30,0.005614534685043855
363,2,7,60,40,0.005612256521243878
364,2,7,60,50,0.005612256521243878
365,2,7,60,60,0.005612256521243878
366,2,7,60,70,0.005612256521243878
367,2,7,60,80,0.005612256521243878
368,2,7,70,10,0.005473288529445267
369,2,7,70,20,0.005474427611345256
370,2,7,70,30,0.005474427611345256
371,2,7,70,40,0.005472149447545278
372,2,7,70,50,0.005472149447545278
373,2,7,70,60,0.005472149447545278
374,2,7,70,70,0.005472149447545278
375,2,7,70,80,0.005472149447545278
376,2,7,80,10,0.0054972092493450276
377,2,7,80,20,0.005498348331245017
378,2,7,80,30,0.005498348331245017
379,2,7,80,40,0.005496070167445039
380,2,7,80,50,0.005496070167445039
381,2,7,80,60,0.005496070167445039
382,2,7,80,70,0.005496070167445039
383,2,7,80,80,0.005496070167445039
384,2,8,10,10,0.005968789155940311
385,2,8,10,20,0.00595398109124046
386,2,8,10,30,0.00595398109124046
387,2,8,10,40,0.00595398109124046
388,2,8,10,50,0.005952842009340471
389,2,8,10,60,0.005952842009340471
390,2,8,10,70,0.005952842009340471
391,2,8,10,80,0.00595398109124046
392,2,8,20,10,0.004998291377150017
393,2,8,20,20,0.004072217792459278
394,2,8,20,30,0.004072217792459278
395,2,8,20,40,0.004072217792459278
396,2,8,20,50,0.004071078710559289
397,2,8,20,60,0.004071078710559289
398,2,8,20,70,0.004071078710559289
399,2,8,20,80,0.004072217792459278
400,2,8,30,10,0.0032247408588677528
401,2,8,30,20,0.0032247408588677528
402,2,8,30,30,0.0032247408588677528
403,2,8,30,40,0.0032247408588677528
404,2,8,30,50,0.003223601776967764
405,2,8,30,60,0.003223601776967764
406,2,8,30,70,0.003223601776967764
407,2,8,30,80,0.0032247408588677528
408,2,8,40,10,0.0031791775828682086
409,2,8,40,20,0.0031791775828682086
410,2,8,40,30,0.0031791775828682086
411,2,8,40,40,0.0031791775828682086
412,2,8,40,50,0.0031791775828682086
413,2,8,40,60,0.0031791775828682086
414,2,8,40,70,0.0031791775828682086
415,2,8,40,80,0.0031791775828682086
416,2,8,50,10,0.005573527736644265
417,2,8,50,20,0.005573527736644265
418,2,8,50,30,0.005573527736644265
419,2,8,50,40,0.005573527736644265
420,2,8,50,50,0.005573527736644265
421,2,8,50,60,0.005573527736644265
422,2,8,50,70,0.005573527736644265
423,2,8,50,80,0.005573527736644265
424,2,8,60,10,0.005612256521243878
425,2,8,60,20,0.005612256521243878
426,2,8,60,30,0.005612256521243878
427,2,8,60,40,0.005612256521243878
428,2,8,60,50,0.005612256521243878
429,2,8,60,60,0.005612256521243878
430,2,8,60,70,0.005612256521243878
431,2,8,60,80,0.005612256521243878
432,2,8,70,10,0.005472149447545278
433,2,8,70,20,0.005472149447545278
434,2,8,70,30,0.005472149447545278
435,2,8,70,40,0.005472149447545278
436,2,8,70,50,0.005472149447545278
437,2,8,70,60,0.005472149447545278
438,2,8,70,70,0.005472149447545278
439,2,8,70,80,0.005472149447545278
440,2,8,80,10,0.005496070167445039
441,2,8,80,20,0.005496070167445039
442,2,8,80,30,0.005496070167445039
443,2,8,80,40,0.005496070167445039
444,2,8,80,50,0.005496070167445039
445,2,8,80,60,0.005496070167445039
446,2,8,80,70,0.005496070167445039
447,2,8,80,80,0.005496070167445039
448,3,2,10,10,0.006234195238637658
449,3,2,10,20,0.006260394122337396
450,3,2,10,30,0.00624102973003759
451,3,2,10,40,0.0062364734024376355
452,3,2,10,50,0.00623191707483768
453,3,2,10,60,0.006278619432737213
454,3,2,10,70,0.00625697687663743
455,3,2,10,80,0.00624900330333751
456,3,2,20,10,0.006009796104339902
457,3,2,20,20,0.005009682196149902
458,3,2,20,30,0.005031324752249686
459,3,2,20,40,0.005032463834149676
460,3,2,20,50,0.004998291377150017
461,3,2,20,60,0.005000569540949994
462,3,2,20,70,0.005013099441849868
463,3,2,20,80,0.005010821278049892
464,3,2,30,10,0.005301287162546987
465,3,2,30,20,0.0053889964688461104
466,3,2,30,30,0.005415195352545849
467,3,2,30,40,0.005417473516345825
468,3,2,30,50,0.005411778106845883
469,3,2,30,60,0.005402665451645974
470,3,2,30,70,0.005433420662945666
471,3,2,30,80,0.005425447089645746
472,3,2,40,10,0.004842237156851578
473,3,2,40,20,0.004915138398450848
474,3,2,40,30,0.004966397083950336
475,3,2,40,40,0.004942476364050576
476,3,2,40,50,0.004933363708850666
477,3,2,40,60,0.004925390135550746
478,3,2,40,70,0.004948171773550518
479,3,2,40,80,0.00493905911835061
480,3,2,50,10,0.0058753844401412455
481,3,2,50,20,0.0059517029274404835
482,3,2,50,30,0.00601207426813988
483,3,2,50,40,0.006001822531039982
484,3,2,50,50,0.005982458138740175
485,3,2,50,60,0.005969928237840301
486,3,2,50,70,0.0059949880396400505
487,3,2,50,80,0.0059915707939400846
488,3,2,60,10,0.005927782207540723
489,3,2,60,20,0.00598701446634013
490,3,2,60,30,0.006022326005239776
491,3,2,60,40,0.006464289782435358
492,3,2,60,50,0.006016630595739834
493,3,2,60,60,0.006017769677639823
494,3,2,60,70,0.006045107643239549
495,3,2,60,80,0.006034855906139652
496,3,2,70,10,0.006378858639936211
497,3,2,70,20,0.006432395489235676
498,3,2,70,30,0.0064813760109351855
499,3,2,70,40,0.006483654174735164
500,3,2,70,50,0.006464289782435358
501,3,2,70,60,0.006483654174735164
502,3,2,70,70,0.006512131222234878
503,3,2,70,80,0.006516687549834833
504,3,2,80,10,0.005902722405740973
505,3,2,80,20,0.005966510992140335
506,3,2,80,30,0.005990431712040095
507,3,2,80,40,0.00598701446634013
508,3,2,80,50,0.005990431712040095
509,3,2,80,60,0.005985875384440141
510,3,2,80,70,0.006008657022439914
511,3,2,80,80,0.00603599498803964
512,3,3,10,10,0.0063697459847363025
513,3,3,10,20,0.006295705661237043
514,3,3,10,30,0.006276341268937237
