,alpha,beta,K,M,accuracy
0,10,5,80,80,97.13989845002672
1,10,5,80,90,97.26483164083378
2,10,5,80,100,97.25614644575093
3,10,5,80,110,97.13254943880278
4,10,5,90,80,97.23075895243186
5,10,5,90,90,97.23343132014965
6,10,5,90,100,97.2327632282202
7,10,5,90,110,97.24011223944414
8,10,5,100,80,97.05304649919829
9,10,5,100,90,97.05505077498664
10,10,5,100,100,97.06707642971672
