,ws,gamma,c,accuracy
84,50,scale,3.0,0.8002347417840375
85,50,auto,3.0,0.7992957746478874
86,50,0.1,3.0,0.8073943661971831
87,50,1,3.0,0.847887323943662
88,50,5,3.0,0.863849765258216
89,50,10,3.0,0.8458920187793427
90,50,scale,4.0,0.8028169014084507
91,50,auto,4.0,0.8023474178403756
92,50,0.1,4.0,0.8103286384976526
93,50,1,4.0,0.8494131455399061
94,50,5,4.0,0.8631455399061033
95,50,10,4.0,0.8448356807511737
96,50,scale,5.0,0.8034037558685446
97,50,auto,5.0,0.8036384976525821
98,50,0.1,5.0,0.8131455399061033
99,50,1,5.0,0.8512910798122065
100,50,5,5.0,0.8642018779342723
101,50,10,5.0,0.8446009389671362
102,50,scale,6.0,0.8053990610328638
103,50,auto,6.0,0.8046948356807512
104,50,0.1,6.0,0.8132629107981221
105,50,1,6.0,0.8515258215962441
106,50,5,6.0,0.8630281690140845
107,50,10,6.0,0.8435446009389671
108,70,scale,0.1,0.7799506984387838
109,70,auto,0.1,0.7799506984387838
110,70,0.1,0.1,0.7870172555464257
111,70,1,0.1,0.8161051766639277
112,70,5,0.1,0.7728841413311421
113,70,10,0.1,0.4685291700903862
114,70,scale,0.5,0.7991783073130649
115,70,auto,0.5,0.7983566146261298
116,70,0.1,0.5,0.809695973705834
117,70,1,0.5,0.8414133114215283
118,70,5,0.5,0.7949055053410025
119,70,10,0.5,0.7477403451109285
120,70,scale,1.0,0.8113393590797042
121,70,auto,1.0,0.8113393590797042
122,70,0.1,1.0,0.818898931799507
123,70,1,1.0,0.8458504519309779
124,70,5,1.0,0.8085456039441249
125,70,10,1.0,0.7556285949055054
126,70,scale,1.5,0.8131470829909614
127,70,auto,1.5,0.8128184059161874
128,70,0.1,1.5,0.8223500410846344
129,70,1,1.5,0.847000821692687
130,70,5,1.5,0.8167625308134757
131,70,10,1.5,0.7630238290879211
132,70,scale,2.0,0.8164338537387017
133,70,auto,2.0,0.8164338537387017
134,70,0.1,2.0,0.8246507806080526
135,70,1,2.0,0.8494658997534922
136,70,5,2.0,0.8233360723089564
137,70,10,2.0,0.7784716516023007
138,70,scale,3.0,0.8200493015612161
139,70,auto,3.0,0.819391947411668
140,70,0.1,3.0,0.8297452752670501
141,70,1,3.0,0.8517666392769104
142,70,5,3.0,0.819227608874281
143,70,10,3.0,0.7776499589153657
144,70,scale,4.0,0.8225143796220213
145,70,auto,4.0,0.8221857025472473
146,70,0.1,4.0,0.8330320460147904
147,70,1,4.0,0.8522596548890715
148,70,5,4.0,0.8169268693508628
149,70,10,4.0,0.7758422350041084
150,70,scale,5.0,0.8253081347576007
151,70,auto,5.0,0.8236647493837305
152,70,0.1,5.0,0.8331963845521775
153,70,1,5.0,0.8519309778142975
154,70,5,5.0,0.8144617912900575
155,70,10,5.0,0.7751848808545604
156,70,scale,6.0,0.8266228430566968
157,70,auto,6.0,0.8267871815940838
158,70,0.1,6.0,0.8338537387017255
159,70,1,6.0,0.8514379622021364
160,70,5,6.0,0.8133114215283483
161,70,10,6.0,0.7751848808545604
162,90,scale,0.1,0.648637227973801
163,90,auto,0.1,0.6477920980350729
164,90,0.1,0.1,0.6532854426368054
165,90,1,0.1,0.6372279738009718
166,90,5,0.1,0.44390450031692374
167,90,10,0.1,0.6570885273610818
168,90,scale,0.5,0.6883583350940207
169,90,auto,0.5,0.6887809000633848
170,90,0.1,0.5,0.691316289879569
171,90,1,0.5,0.7369533065708853
172,90,5,0.5,0.6710331713500951
173,90,10,0.5,0.7358968941474752
174,90,scale,1.0,0.6961757870272555
175,90,auto,1.0,0.6946968096344813
176,90,0.1,1.0,0.7033593915064441
177,90,1,1.0,0.7701246566659624
178,90,5,1.0,0.8013944643989014
179,90,10,1.0,0.7515317980139447
180,90,scale,1.5,0.6976547644200296
181,90,auto,1.5,0.6972321994506655
182,90,0.1,1.5,0.7103317135009508
183,90,1,1.5,0.7840693006549757
184,90,5,1.5,0.7992816395520811
185,90,10,1.5,0.7487851257130784
186,90,scale,2.0,0.7012465666596239
187,90,auto,2.0,0.6999788717515318
188,90,0.1,2.0,0.7179378829495034
189,90,1,2.0,0.7893513627720262
190,90,5,2.0,0.7956898373124868
191,90,10,2.0,0.7418128037185717
192,90,scale,3.0,0.7071624762307205
193,90,auto,3.0,0.7056834988379463
194,90,0.1,3.0,0.723431227551236
195,90,1,3.0,0.7999154870061272
196,90,5,3.0,0.797380097189943
197,90,10,3.0,0.7420240862032538
198,90,scale,4.0,0.7126558208324529
199,90,auto,4.0,0.712444538347771
200,90,0.1,4.0,0.7291358546376505
201,90,1,4.0,0.8060426790619057
202,90,5,4.0,0.7999154870061272
203,90,10,4.0,0.7411789562645257
204,90,scale,5.0,0.7158250581026833
